iter	Passed	Remaining
0	141	141153
1	145	72520
2	148	49285
3	150	37472
4	152	30419
5	154	25646
6	156	22239
7	159	19767
8	162	17857
9	164	16248
10	166	14936
11	168	13832
12	170	12910
13	172	12115
14	174	11451
15	176	10880
16	178	10344
17	180	9867
18	182	9444
19	185	9065
20	187	8738
21	190	8451
22	192	8173
23	194	7910
24	196	7663
25	198	7431
26	200	7222
27	202	7045
28	205	6890
29	208	6737
30	210	6577
31	212	6425
32	214	6282
33	216	6150
34	219	6049
35	221	5936
36	223	5821
37	225	5713
38	227	5608
39	229	5508
40	231	5425
41	234	5351
42	236	5270
43	238	5178
44	239	5090
45	241	5004
46	242	4923
47	244	4845
48	245	4771
49	247	4711
50	249	4647
51	251	4578
52	252	4511
53	253	4445
54	254	4379
55	256	4318
56	257	4259
57	258	4203
58	260	4151
59	262	4107
60	263	4063
61	265	4012
62	266	3963
63	267	3918
64	269	3873
65	270	3828
66	271	3785
67	273	3744
68	274	3708
69	276	3676
70	278	3643
71	279	3607
72	281	3579
73	283	3549
74	284	3514
75	286	3481
76	287	3447
77	288	3415
78	290	3388
79	292	3362
80	293	3331
81	295	3303
82	295	3268
83	297	3241
84	298	3213
85	299	3187
86	301	3162
87	302	3137
88	305	3123
89	306	3103
90	308	3079
91	309	3056
92	311	3033
93	312	3009
94	313	2985
95	314	2962
96	315	2939
97	316	2916
98	318	2897
99	320	2884
100	322	2869
101	323	2849
102	324	2830
103	326	2811
104	327	2794
105	329	2775
106	330	2757
107	331	2739
108	333	2725
109	335	2712
110	336	2698
111	338	2681
112	339	2665
113	340	2649
114	342	2633
115	343	2617
116	344	2599
117	345	2584
118	347	2569
119	348	2557
120	350	2545
121	351	2528
122	352	2514
123	353	2500
124	355	2485
125	356	2471
126	357	2456
127	358	2442
128	360	2430
129	361	2418
130	362	2406
131	365	2401
132	366	2388
133	367	2375
134	368	2363
135	370	2351
136	371	2339
137	372	2327
138	373	2316
139	375	2305
140	377	2300
141	380	2296
142	381	2286
143	382	2275
144	384	2264
145	385	2253
146	386	2243
147	387	2232
148	389	2222
149	390	2211
150	391	2203
151	393	2196
152	395	2187
153	396	2178
154	397	2168
155	399	2158
156	400	2148
157	401	2138
158	402	2129
159	404	2121
160	406	2120
161	409	2115
162	410	2106
163	411	2097
164	412	2087
165	413	2078
166	414	2069
167	416	2061
168	417	2052
169	418	2044
170	420	2037
171	422	2032
172	423	2025
173	425	2018
174	426	2009
175	427	2001
176	428	1993
177	429	1985
178	431	1977
179	432	1969
180	433	1962
181	435	1955
182	436	1950
183	438	1945
184	439	1937
185	441	1930
186	442	1923
187	443	1916
188	444	1908
189	445	1901
190	447	1894
191	448	1887
192	450	1881
193	452	1878
194	453	1871
195	454	1865
196	455	1858
197	457	1852
198	458	1845
199	459	1838
200	460	1832
201	461	1825
202	463	1821
203	466	1818
204	467	1813
205	468	1807
206	470	1801
207	471	1795
208	472	1788
209	473	1782
210	475	1776
211	476	1770
212	477	1764
213	479	1759
214	480	1756
215	482	1750
216	483	1744
217	484	1739
218	486	1734
219	487	1728
220	488	1722
221	489	1716
222	490	1710
223	492	1705
224	493	1700
225	495	1696
226	496	1691
227	498	1686
228	499	1681
229	500	1675
230	501	1669
231	502	1664
232	503	1658
233	505	1653
234	506	1647
235	507	1643
236	509	1641
237	511	1636
238	512	1631
239	513	1627
240	515	1623
241	516	1618
242	517	1613
243	519	1609
244	520	1604
245	522	1601
246	524	1600
247	526	1596
248	527	1591
249	529	1589
250	531	1586
251	532	1582
252	534	1577
253	535	1572
254	536	1568
255	538	1565
256	540	1562
257	541	1557
258	542	1553
259	544	1548
260	545	1543
261	546	1539
262	547	1534
263	549	1530
264	550	1525
265	551	1521
266	553	1520
267	555	1516
268	556	1511
269	557	1507
270	558	1502
271	559	1498
272	560	1493
273	562	1489
274	563	1484
275	564	1480
276	565	1476
277	567	1474
278	570	1473
279	571	1470
280	572	1466
281	574	1461
282	575	1457
283	576	1452
284	577	1448
285	578	1444
286	579	1440
287	581	1436
288	583	1435
289	584	1431
290	586	1427
291	587	1423
292	588	1419
293	589	1416
294	590	1412
295	592	1408
296	593	1404
297	594	1401
298	597	1400
299	598	1397
300	600	1393
301	601	1389
302	602	1386
303	603	1382
304	604	1378
305	606	1374
306	607	1370
307	608	1366
308	609	1363
309	611	1360
310	613	1358
311	614	1354
312	615	1351
313	616	1347
314	618	1344
315	619	1340
316	620	1337
317	621	1333
318	622	1329
319	625	1330
320	627	1327
321	629	1324
322	630	1321
323	631	1318
324	632	1314
325	634	1311
326	635	1307
